id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
0,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
1,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
2,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
3,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
4,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
5,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
6,Men Tshirts,5,multicolor,round,printed,default,long sleeves,,,,,
7,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
8,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
9,Men Tshirts,5,default,round,printed,default,long sleeves,,,,,
10,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
11,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
12,Men Tshirts,5,black,round,printed,default,long sleeves,,,,,
13,Men Tshirts,5,multicolor,round,printed,default,long sleeves,,,,,
14,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
15,Men Tshirts,5,multicolor,round,printed,default,long sleeves,,,,,
16,Men Tshirts,5,multicolor,round,printed,default,long sleeves,,,,,
17,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
18,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
19,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
20,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
21,Men Tshirts,5,black,round,solid,solid,long sleeves,,,,,
22,Men Tshirts,5,default,round,solid,default,long sleeves,,,,,
23,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
24,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
25,Men Tshirts,5,default,round,solid,default,long sleeves,,,,,
26,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
27,Men Tshirts,5,default,round,solid,default,long sleeves,,,,,
28,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
29,Men Tshirts,5,default,round,printed,default,short sleeves,,,,,
30,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
31,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
32,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
33,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
34,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
35,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
36,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
37,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
38,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
39,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
40,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
41,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
42,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
43,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
44,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
45,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
46,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
47,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
48,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
49,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
50,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
51,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
52,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
53,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
54,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
55,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
56,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
57,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
58,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
59,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
60,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
61,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
62,Men Tshirts,5,black,round,solid,solid,long sleeves,,,,,
63,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
64,Men Tshirts,5,default,round,solid,solid,long sleeves,,,,,
65,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
66,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
67,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
68,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
69,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
70,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
71,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
72,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
73,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
74,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
75,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
76,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
77,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
78,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
79,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
80,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
81,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
82,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
83,Men Tshirts,5,white,round,printed,typography,short sleeves,,,,,
84,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
85,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
86,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
87,Men Tshirts,5,black,polo,solid,solid,short sleeves,,,,,
88,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
89,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
90,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
91,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
92,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
93,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
94,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
95,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
96,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
97,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
98,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
99,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
100,Men Tshirts,5,white,round,printed,default,long sleeves,,,,,
101,Men Tshirts,5,black,round,printed,default,long sleeves,,,,,
102,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
103,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
104,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
105,Men Tshirts,5,multicolor,round,printed,default,short sleeves,,,,,
106,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
107,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
108,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
109,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
110,Men Tshirts,5,black,round,printed,typography,short sleeves,,,,,
111,Men Tshirts,5,default,round,printed,typography,short sleeves,,,,,
112,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
113,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
114,Men Tshirts,5,white,round,printed,default,short sleeves,,,,,
115,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
116,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
117,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
118,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
119,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
120,Men Tshirts,5,black,round,printed,default,short sleeves,,,,,
121,Men Tshirts,5,white,polo,solid,solid,short sleeves,,,,,
122,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
123,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
124,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
125,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
126,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
127,Men Tshirts,5,black,round,printed,typography,short sleeves,,,,,
128,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
129,Men Tshirts,5,default,polo,solid,solid,short sleeves,,,,,
130,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
131,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,,,,,
132,Men Tshirts,5,black,round,solid,solid,short sleeves,,,,,
133,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
134,Men Tshirts,5,default,round,solid,solid,short sleeves,,,,,
